dataset,mde,iters,solver,pose_mAA_10,median_pose_err,median_f_err,mean_mde_runtime,mean_runtime,mean_inliers
sintel,DepthPro-vitl,500,mdecalib,64.359378,2.518325,0.185125,120.215405,91.713942,0.736669
sintel,DepthPro-vitl,500,sf,83.199388,0.664227,0.159111,120.215405,87.528112,0.822442
sintel,DepthPro-vitl,500,calib_shift,86.288945,0.315771,0.0,120.215405,87.658346,0.819709
sintel,DepthPro-vitl,500,mdecalib_shift,62.843212,2.400703,0.185125,120.215405,105.703224,0.744524
sintel,DepthPro-vitl,500,sf_shift,76.311405,0.708333,0.189978,120.215405,110.280852,0.793719
sintel,DepthPro-vitl,500,calib_ro,75.790686,0.763383,0.0,120.215405,8.131684,0.782376
sintel,DepthPro-vitl,500,mdecalib_ro,61.360392,2.8085,0.185125,120.215405,8.678358,0.7362
sintel,DepthPro-vitl,500,sf_ro,69.196147,1.470595,0.467839,120.215405,12.796793,0.781614
sintel,DepthPro-vitl,500,calib_shift_ro,65.346303,1.510827,0.0,120.215405,13.479492,0.779006
sintel,DepthPro-vitl,500,mdecalib_shift_ro,55.069871,3.306926,0.185125,120.215405,17.463464,0.772997
sintel,DepthPro-vitl,500,sf_shift_ro,62.4782,2.239909,0.569063,120.215405,29.118839,0.770227
sintel,DepthPro-vitl,1000,calib,88.389953,0.361216,0.0,120.215405,108.857822,0.824635
sintel,DepthPro-vitl,1000,mdecalib,64.178855,2.540967,0.185125,120.215405,111.239361,0.743187
